type,f3,name,set,number,rarity,source,qr_value_pokemon,qr_value_trainer,image
Pokemon,10,Bulbasaur,A1,1,C,normal,10,10000010,cPK_10_000010_00_FUSHIGIDANE_C.webp
Pokemon,20,Ivysaur,A1,2,U,normal,20,10000020,cPK_10_000020_00_FUSHIGISOU_U.webp
Pokemon,30,Venusaur,A1,3,R,normal,30,10000030,cPK_10_000030_00_FUSHIGIBANA_R.webp
Pokemon,40,Venusaur ex,A1,4,RR,normal,40,10000040,cPK_10_000040_00_FUSHIGIBANAex_RR.webp
Pokemon,50,Caterpie,A1,5,C,normal,50,10000050,cPK_10_000050_00_CATERPIE_C.webp
Pokemon,60,Metapod,A1,6,C,normal,60,10000060,cPK_10_000060_00_TRANSEL_C.webp
Pokemon,70,Butterfree,A1,7,R,normal,70,10000070,cPK_10_000070_00_BUTTERFREE_R.webp
Pokemon,80,Weedle,A1,8,C,normal,80,10000080,cPK_10_000080_00_BEEDLE_C.webp
Pokemon,90,Kakuna,A1,9,C,normal,90,10000090,cPK_10_000090_00_COCOON_C.webp
Pokemon,100,Beedrill,A1,10,R,normal,100,10000100,cPK_10_000100_00_SPEAR_R.webp
Pokemon,110,Oddish,A1,11,C,normal,110,10000110,cPK_10_000110_00_NAZONOKUSA_C.webp
Pokemon,120,Gloom,A1,12,U,normal,120,10000120,cPK_10_000120_00_KUSAIHANA_U.webp
Pokemon,130,Vileplume,A1,13,R,normal,130,10000130,cPK_10_000130_00_RUFFRESIA_R.webp
Pokemon,140,Paras,A1,14,C,normal,140,10000140,cPK_10_000140_00_PARAS_C.webp
Pokemon,150,Parasect,A1,15,U,normal,150,10000150,cPK_10_000150_00_PARASECT_U.webp
Pokemon,160,Venonat,A1,16,C,normal,160,10000160,cPK_10_000160_00_KONGPANG_C.webp
Pokemon,170,Venomoth,A1,17,U,normal,170,10000170,cPK_10_000170_00_MORPHON_U.webp
Pokemon,180,Bellsprout,A1,18,C,normal,180,10000180,cPK_10_000180_00_MADATSUBOMI_C.webp
Pokemon,190,Weepinbell,A1,19,U,normal,190,10000190,cPK_10_000190_00_UTSUDON_U.webp
Pokemon,200,Victreebel,A1,20,R,normal,200,10000200,cPK_10_000200_00_UTSUBOT_R.webp
Pokemon,210,Exeggcute,A1,21,C,normal,210,10000210,cPK_10_000210_00_TAMATAMA_C.webp
Pokemon,220,Exeggutor,A1,22,R,normal,220,10000220,cPK_10_000220_00_NASSY_R.webp
Pokemon,230,Exeggutor ex,A1,23,RR,normal,230,10000230,cPK_10_000230_00_NASSYex_RR.webp
Pokemon,240,Tangela,A1,24,C,normal,240,10000240,cPK_10_000240_00_MONJARA_C.webp
Pokemon,250,Scyther,A1,25,C,normal,250,10000250,cPK_10_000250_00_STRIKE_C.webp
Pokemon,260,Pinsir,A1,26,U,normal,260,10000260,cPK_10_000260_00_KAILIOS_U.webp
Pokemon,270,Cottonee,A1,27,C,normal,270,10000270,cPK_10_000270_00_MONMEN_C.webp
Pokemon,280,Whimsicott,A1,28,U,normal,280,10000280,cPK_10_000280_00_ELFUUN_U.webp
Pokemon,290,Petilil,A1,29,C,normal,290,10000290,cPK_10_000290_00_CHURINE_C.webp
Pokemon,300,Lilligant,A1,30,U,normal,300,10000300,cPK_10_000300_00_DREDEAR_U.webp
Pokemon,310,Skiddo,A1,31,C,normal,310,10000310,cPK_10_000310_00_MEECLE_C.webp
Pokemon,320,Gogoat,A1,32,C,normal,320,10000320,cPK_10_000320_00_GOGOAT_C.webp
Pokemon,330,Charmander,A1,33,C,normal,330,10000330,cPK_10_000330_00_HITOKAGE_C.webp
Pokemon,340,Charmeleon,A1,34,U,normal,340,10000340,cPK_10_000340_00_LIZARDO_U.webp
Pokemon,350,Charizard,A1,35,R,normal,350,10000350,cPK_10_000350_00_LIZARDON_R.webp
Pokemon,360,Charizard ex,A1,36,RR,normal,360,10000360,cPK_10_000360_00_LIZARDONex_RR.webp
Pokemon,370,Vulpix,A1,37,C,normal,370,10000370,cPK_10_000370_00_ROKON_C.webp
Pokemon,380,Ninetales,A1,38,U,normal,380,10000380,cPK_10_000380_00_KYUKON_U.webp
Pokemon,390,Growlithe,A1,39,C,normal,390,10000390,cPK_10_000390_00_GARDIE_C.webp
Pokemon,400,Arcanine,A1,40,R,normal,400,10000400,cPK_10_000400_00_WINDIE_R.webp
Pokemon,410,Arcanine ex,A1,41,RR,normal,410,10000410,cPK_10_000410_00_WINDIEex_RR.webp
Pokemon,420,Ponyta,A1,42,C,normal,420,10000420,cPK_10_000420_00_PONYTA_C.webp
Pokemon,430,Rapidash,A1,43,U,normal,430,10000430,cPK_10_000430_00_GALLOP_U.webp
Pokemon,440,Magmar,A1,44,C,normal,440,10000440,cPK_10_000440_00_BOOBER_C.webp
Pokemon,450,Flareon,A1,45,R,normal,450,10000450,cPK_10_000450_00_BOOSTER_R.webp
Pokemon,460,Moltres,A1,46,R,normal,460,10000460,cPK_10_000460_00_FIRE_R.webp
Pokemon,470,Moltres ex,A1,47,RR,normal,470,10000470,cPK_10_000470_00_FIREex_RR.webp
Pokemon,480,Heatmor,A1,48,C,normal,480,10000480,cPK_10_000480_00_KUITARAN_C.webp
Pokemon,490,Salandit,A1,49,C,normal,490,10000490,cPK_10_000490_00_YATOUMORI_C.webp
Pokemon,500,Salazzle,A1,50,C,normal,500,10000500,cPK_10_000500_00_ENNEWT_C.webp
Pokemon,510,Sizzlipede,A1,51,C,normal,510,10000510,cPK_10_000510_00_YAKUDE_C.webp
Pokemon,520,Centiskorch,A1,52,U,normal,520,10000520,cPK_10_000520_00_MARUYAKUDE_U.webp
Pokemon,530,Squirtle,A1,53,C,normal,530,10000530,cPK_10_000530_00_ZENIGAME_C.webp
Pokemon,540,Wartortle,A1,54,U,normal,540,10000540,cPK_10_000540_00_KAMEIL_U.webp
Pokemon,550,Blastoise,A1,55,R,normal,550,10000550,cPK_10_000550_00_KAMEX_R.webp
Pokemon,560,Blastoise ex,A1,56,RR,normal,560,10000560,cPK_10_000560_00_KAMEXex_RR.webp
Pokemon,570,Psyduck,A1,57,C,normal,570,10000570,cPK_10_000570_00_KODUCK_C.webp
Pokemon,580,Golduck,A1,58,U,normal,580,10000580,cPK_10_000580_00_GOLDUCK_U.webp
Pokemon,590,Poliwag,A1,59,C,normal,590,10000590,cPK_10_000590_00_NYOROMO_C.webp
Pokemon,600,Poliwhirl,A1,60,U,normal,600,10000600,cPK_10_000600_00_NYOROZO_U.webp
Pokemon,610,Poliwrath,A1,61,R,normal,610,10000610,cPK_10_000610_00_NYOROBON_R.webp
Pokemon,620,Tentacool,A1,62,C,normal,620,10000620,cPK_10_000620_00_MENOKURAGE_C.webp
Pokemon,630,Tentacruel,A1,63,U,normal,630,10000630,cPK_10_000630_00_DOKUKURAGE_U.webp
Pokemon,640,Seel,A1,64,C,normal,640,10000640,cPK_10_000640_00_PAWOU_C.webp
Pokemon,650,Dewgong,A1,65,U,normal,650,10000650,cPK_10_000650_00_JUGON_U.webp
Pokemon,660,Shellder,A1,66,C,normal,660,10000660,cPK_10_000660_00_SHELLDER_C.webp
Pokemon,670,Cloyster,A1,67,U,normal,670,10000670,cPK_10_000670_00_PARSHEN_U.webp
